,Nom,Type,Pop21,Pop16,Km2
111,Warwick,V,4729.0,4635.0,109.6
112,Carleton-sur-Mer,V,4081.0,4073.0,221.48
113,Escuminac,MÉ,575.0,544.0,108.7
114,Gesgapegiag,IRI,637.0,653.0,2.2
115,L'Ascension-de-Patapédia,MÉ,148.0,164.0,95.98
116,Listuguj 3 6,IRI,,1514.0,44.23
117,Maria,MÉ,2760.0,2615.0,94.88
118,Matapédia,MÉ,566.0,645.0,71.59
119,Nouvelle 3,MÉ,1782.0,1681.0,234.66
120,Pointe-à-la-Croix 3,MÉ,1344.0,1408.0,390.73
121,Ristigouche-Partie-Sud-Est,CT,170.0,171.0,51.76
122,Rivière-Nouvelle,NO,0.0,0.0,1087.6
123,Ruisseau-Ferguson,NO,0.0,0.0,675.94
124,Saint-Alexis-de-Matapédia,MÉ,519.0,500.0,84.91
125,Saint-André-de-Restigouche,MÉ,154.0,161.0,143.37
126,Saint-François-d'Assise,MÉ,679.0,644.0,179.34
127,La Guadeloupe,VL,1805.0,1707.0,32.84
128,Lac-Poulin,VL,171.0,147.0,0.88
129,Notre-Dame-des-Pins,PE,1812.0,1594.0,24.09
130,Saint-Benoît-Labre,MÉ,1617.0,1630.0,85.65
131,Saint-Côme--Linière,MÉ,3278.0,3239.0,150.45
132,Saint-Georges,V,32935.0,32513.0,199.08
133,Saint-Gédéon-de-Beauce,MÉ,2093.0,2205.0,197.37
134,Saint-Hilaire-de-Dorset,PE,96.0,95.0,186.77
135,Saint-Honoré-de-Shenley 3,MÉ,1555.0,1517.0,133.96
136,Saint-Martin,PE,2588.0,2477.0,118.0
137,Saint-Philibert,MÉ,379.0,369.0,57.16
138,Saint-René,PE,946.0,745.0,61.54
139,Saint-Simon-les-Mines,MÉ,573.0,549.0,47.43
140,Saint-Théophile,MÉ,702.0,713.0,427.78
141,Saint-Éphrem-de-Beauce,MÉ,2323.0,2400.0,118.9
142,Saint-Évariste-de-Forsyth 3,MÉ,511.0,545.0,110.85
143,Beauharnois,V,13638.0,12884.0,68.22
144,Saint-Louis-de-Gonzague,PE,1950.0,1481.0,77.04
145,Saint-Stanislas-de-Kostka,MÉ,1852.0,1654.0,57.69
146,Saint-Urbain-Premier,MÉ,1332.0,1264.0,53.28
147,Saint-Étienne-de-Beauharnois,MÉ,1099.0,831.0,40.63
148,Sainte-Martine,MÉ,5664.0,5461.0,63.06
149,Salaberry-de-Valleyfield,V,42787.0,40745.0,108.56
150,Armagh,MÉ,1439.0,1488.0,167.99
151,Beaumont,MÉ,2968.0,2942.0,44.57
152,Honfleur,MÉ,881.0,849.0,50.67
153,La Durantaye,PE,782.0,755.0,34.99
154,Notre-Dame-Auxiliatrice-de-Buckland,PE,767.0,768.0,94.71
155,Saint-Anselme,MÉ,4047.0,3938.0,74.22
156,Saint-Charles-de-Bellechasse,MÉ,2583.0,2396.0,93.3
157,Saint-Damien-de-Buckland,PE,1893.0,1956.0,82.04
158,Saint-Gervais,MÉ,2138.0,2153.0,89.33
159,Saint-Henri,MÉ,5813.0,5611.0,122.61
160,Saint-Lazare-de-Bellechasse,MÉ,1332.0,1288.0,85.93
161,Saint-Léon-de-Standon,PE,1042.0,1127.0,136.88
162,Saint-Malachie,PE,1667.0,1517.0,101.07
163,Saint-Michel-de-Bellechasse,MÉ,1871.0,1813.0,43.08
164,Saint-Nazaire-de-Dorchester,PE,338.0,363.0,51.56
165,Saint-Nérée-de-Bellechasse,MÉ,744.0,742.0,75.76
166,Saint-Philémon,PE,680.0,714.0,146.51
167,Saint-Raphaël,MÉ,2458.0,2390.0,121.69
168,Saint-Vallier,MÉ,1031.0,1061.0,44.88
169,Sainte-Claire,MÉ,3526.0,3362.0,88.14
170,Bonaventure,V,2733.0,2706.0,104.5
171,Caplan,MÉ,1966.0,2024.0,85.69
172,Cascapédia--Saint-Jules,MÉ,764.0,730.0,164.29
173,Hope,CT,584.0,568.0,70.55
174,Hope Town,MÉ,334.0,339.0,51.26
175,New Carlisle,MÉ,1336.0,1388.0,67.99
176,New Richmond,V,3683.0,3706.0,172.5
177,Paspébiac,V,3033.0,3164.0,94.98
178,Rivière-Bonaventure,NO,59.0,35.0,3054.37
179,Saint-Alphonse,MÉ,711.0,699.0,112.09
180,Saint-Elzéar,MÉ,464.0,458.0,204.16
181,Saint-Godefroi,CT,350.0,380.0,63.57
182,Saint-Siméon,PE,1207.0,1171.0,56.71
183,Shigawake,MÉ,333.0,292.0,76.82
184,Abercorn,VL,341.0,334.0,26.72
185,Bedford,V,2558.0,2560.0,4.23
186,Bedford,CT,658.0,687.0,31.96
187,Bolton-Ouest,MÉ,732.0,630.0,100.94
188,Brigham,MÉ,2282.0,2306.0,86.92
189,Brome,VL,341.0,296.0,11.56
190,Bromont,V,11357.0,9041.0,114.05
191,Cowansville,V,15234.0,13656.0,46.87
192,Dunham,V,3599.0,3432.0,193.86
193,East Farnham,MÉ,612.0,554.0,5.02
194,Farnham,V,10149.0,8909.0,92.12
195,Frelighsburg,MÉ,1123.0,1111.0,123.31
196,Lac-Brome,V,5923.0,5495.0,206.9
197,Notre-Dame-de-Stanbridge,MÉ,691.0,668.0,43.89
198,Pike River,MÉ,503.0,517.0,40.77
199,Saint-Armand,MÉ,1228.0,1205.0,83.16
200,Saint-Ignace-de-Stanbridge,MÉ,677.0,676.0,69.42
201,Sainte-Sabine,MÉ,1105.0,1085.0,55.33
202,Stanbridge East,MÉ,834.0,866.0,49.41
203,Stanbridge Station,MÉ,291.0,274.0,18.07
204,Sutton,V,4548.0,4012.0,245.69
205,Bécancour,V,13561.0,13031.0,439.54
206,Deschaillons-sur-Saint-Laurent,MÉ,906.0,909.0,36.51
207,Fortierville,MÉ,660.0,669.0,44.55
208,Lemieux,MÉ,292.0,301.0,74.6
209,Manseau,MÉ,807.0,816.0,104.48
