"Nom géographique";"Abréviation du nom du genre de région géographique";"Population, 2021";"Population, 2016";"Variation en pourcentage de la population, 2016 à 2021";"Total des logements privés, 2021";"Total des logements privés, 2016";"Variation en pourcentage du total des logements privés, 2016 à 2021";"Logements privés occupés par des résidents habituels, 2021";"Logements privés occupés par des résidents habituels, 2016";"Variation en pourcentage des logements privés occupés par des résidents habituels, 2016 à 2021";"Superficie des terres en kilomètres carrés, 2021";"Densité de population au kilomètre carré, 2021";"Classement national de la population, 2021";"Classement provincial et territorial de la population, 2021"
"Hope Town";"MÉ";"334";"339";"-1,5";"167";"170";"-1,8";"142";"139";"2,2";"51,26";"6,5";"3 404";"1 039"
"New Carlisle";"MÉ";"1 336";"1 388";"-3,7";"668";"666";"0,3";"603";"574";"5,1";"67,99";"19,6";"1 783";"549"
"New Richmond";"V";"3 683";"3 706";"-0,6";"1 805";"1 774";"1,7";"1 715";"1 663";"3,1";"172,50";"21,4";"909";"232"
"Paspébiac";"V";"3 033";"3 164";"-4,1";"1 501";"1 515";"-0,9";"1 409";"1 428";"-1,3";"94,98";"31,9";"1 039";"272"
"Rivière-Bonaventure";"NO";"59";"35";"68,6";"87";"85";"2,4";"36";"19";"89,5";"3 054,37";"0,0";"4 462";"1 162"
"Saint-Alphonse";"MÉ";"711";"699";"1,7";"325";"330";"-1,5";"314";"309";"1,6";"112,09";"6,3";"2 498";"793"
"Saint-Elzéar";"MÉ";"464";"458";"1,3";"227";"266";"-14,7";"204";"211";"-3,3";"204,16";"2,3";"3 018";"945"
"Saint-Godefroi";"CT";"350";"380";"-7,9";"200";"214";"-6,5";"177";"180";"-1,7";"63,57";"5,5";"3 347";"1 026"
"Saint-Siméon";"PE";"1 207";"1 171";"3,1";"606";"590";"2,7";"576";"550";"4,7";"56,71";"21,3";"1 886";"576"
"Shigawake";"MÉ";"333";"292";"14,0";"167";"171";"-2,3";"144";"127";"13,4";"76,82";"4,3";"3 407";"1 041"
"Abercorn";"VL";"341";"334";"2,1";"240";"236";"1,7";"180";"163";"10,4";"26,72";"12,8";"3 378";"1 032"
"Bedford";"V";"2 558";"2 560";"-0,1";"1 324";"1 281";"3,4";"1 233";"1 209";"2,0";"4,23";"604,3";"1 173";"328"
"Bedford";"CT";"658";"687";"-4,2";"282";"286";"-1,4";"273";"283";"-3,5";"31,96";"20,6";"2 605";"832"
"Bolton-Ouest";"MÉ";"732";"630";"16,2";"522";"504";"3,6";"347";"306";"13,4";"100,94";"7,3";"2 469";"789"
"Brigham";"MÉ";"2 282";"2 306";"-1,0";"1 027";"1 082";"-5,1";"958";"981";"-2,3";"86,92";"26,3";"1 266";"362"
"Brome";"VL";"341";"296";"15,2";"169";"145";"16,6";"151";"126";"19,8";"11,56";"29,5";"3 378";"1 032"
"Bromont";"V";"11 357";"9 041";"25,6";"6 249";"5 198";"20,2";"5 062";"3 953";"28,1";"114,05";"99,6";"379";"98"
"Cowansville";"V";"15 234";"13 656";"11,6";"7 247";"6 272";"15,5";"6 980";"5 992";"16,5";"46,87";"325,0";"286";"72"
"Dunham";"V";"3 599";"3 432";"4,9";"1 758";"1 717";"2,4";"1 529";"1 449";"5,5";"193,86";"18,6";"915";"234"
"East Farnham";"MÉ";"612";"554";"10,5";"271";"239";"13,4";"266";"231";"15,2";"5,02";"121,9";"2 694";"858"
"Farnham";"V";"10 149";"8 909";"13,9";"4 697";"4 187";"12,2";"4 446";"3 894";"14,2";"92,12";"110,2";"421";"108"
"Frelighsburg";"MÉ";"1 123";"1 111";"1,1";"622";"624";"-0,3";"515";"497";"3,6";"123,31";"9,1";"1 974";"608"
"Lac-Brome";"V";"5 923";"5 495";"7,8";"3 683";"3 560";"3,5";"2 828";"2 565";"10,3";"206,90";"28,6";"659";"167"
"Notre-Dame-de-Stanbridge";"MÉ";"691";"668";"3,4";"294";"292";"0,7";"281";"280";"0,4";"43,89";"15,7";"2 540";"809"
"Pike River";"MÉ";"503";"517";"-2,7";"249";"275";"-9,5";"216";"228";"-5,3";"40,77";"12,3";"2 936";"923"
"Saint-Armand";"MÉ";"1 228";"1 205";"1,9";"682";"656";"4,0";"590";"553";"6,7";"83,16";"14,8";"1 871";"574"
"Saint-Ignace-de-Stanbridge";"MÉ";"677";"676";"0,1";"285";"283";"0,7";"265";"265";"0,0";"69,42";"9,8";"2 569";"818"
"Sainte-Sabine";"MÉ";"1 105";"1 085";"1,8";"440";"443";"-0,7";"423";"407";"3,9";"55,33";"20,0";"1 993";"616"
"Stanbridge East";"MÉ";"834";"866";"-3,7";"394";"388";"1,5";"364";"367";"-0,8";"49,41";"16,9";"2 327";"741"
"Stanbridge Station";"MÉ";"291";"274";"6,2";"129";"132";"-2,3";"119";"116";"2,6";"18,07";"16,1";"3 539";"1 066"
"Sutton";"V";"4 548";"4 012";"13,4";"3 767";"3 670";"2,6";"2 388";"2 000";"19,4";"245,69";"18,5";"783";"198"
"Bécancour";"V";"13 561";"13 031";"4,1";"6 348";"6 031";"5,3";"6 034";"5 694";"6,0";"439,54";"30,9";"325";"86"
"Deschaillons-sur-Saint-Laurent";"MÉ";"906";"909";"-0,3";"541";"557";"-2,9";"460";"447";"2,9";"36,51";"24,8";"2 236";"703"
"Fortierville";"MÉ";"660";"669";"-1,3";"301";"304";"-1,0";"282";"284";"-0,7";"44,55";"14,8";"2 603";"830"
"Lemieux";"MÉ";"292";"301";"-3,0";"132";"136";"-2,9";"126";"123";"2,4";"74,60";"3,9";"3 535";"1 065"
"Manseau";"MÉ";"807";"816";"-1,1";"422";"435";"-3,0";"385";"380";"1,3";"104,48";"7,7";"2 360";"751"
"Parisville";"PE";"396";"530";"-25,3";"198";"257";"-23,0";"179";"231";"-22,5";"35,58";"11,1";"3 194";"995"
"Saint-Pierre-les-Becquets";"MÉ";"1 183";"1 137";"4,0";"627";"619";"1,3";"533";"506";"5,3";"48,14";"24,6";"1 916";"586"
"Saint-Sylvère";"MÉ";"786";"791";"-0,6";"367";"391";"-6,1";"346";"345";"0,3";"86,30";"9,1";"2 391";"764"
"Sainte-Cécile-de-Lévrard";"PE";"349";"372";"-6,2";"163";"167";"-2,4";"153";"156";"-1,9";"32,32";"10,8";"3 353";"1 030"
"Sainte-Françoise";"MÉ";"467";"449";"4,0";"238";"242";"-1,7";"216";"213";"1,4";"87,02";"5,4";"3 014";"944"
"Sainte-Marie-de-Blandford";"MÉ";"443";"468";"-5,3";"290";"299";"-3,0";"223";"218";"2,3";"69,30";"6,4";"3 067";"966"
"Sainte-Sophie-de-Lévrard";"PE";"704";"729";"-3,4";"415";"412";"0,7";"357";"354";"0,8";"84,05";"8,4";"2 513";"800"
"Wôlinak";"IRI";"194";"202";"-4,0";"106";"97";"9,3";"97";"90";"7,8";"0,74";"262,8";"3 880";"1 116"
"Baie-Saint-Paul";"V";"7 371";"7 146";"3,1";"3 782";"3 674";"2,9";"3 427";"3 231";"6,1";"545,85";"13,5";"563";"137"
"L'Isle-aux-Coudres";"MÉ";"1 116";"1 143";"-2,4";"760";"754";"0,8";"583";"551";"5,8";"29,46";"37,9";"1 981";"610"
"Lac-Pikauba 3";"NO";"0";"0";"...";"1";"0";"...";"1";"0";"...";"2 440,54";"0,0";"4 831";"1 194"
"Les Éboulements";"MÉ";"1 465";"1 331";"10,1";"925";"895";"3,4";"643";"575";"11,8";"156,19";"9,4";"1 688";"512"
"Petite-Rivière-Saint-François";"MÉ";"953";"814";"17,1";"858";"797";"7,7";"455";"358";"27,1";"133,89";"7,1";"2 174";"680"
"Saint-Hilarion";"PE";"1 146";"1 127";"1,7";"533";"551";"-3,3";"492";"482";"2,1";"100,30";"11,4";"1 950";"600"
"Saint-Urbain";"PE";"1 320";"1 373";"-3,9";"657";"659";"-0,3";"585";"584";"0,2";"330,57";"4,0";"1 798";"555"
"Baie-Sainte-Catherine";"MÉ";"184";"206";"-10,7";"125";"132";"-5,3";"97";"107";"-9,3";"232,89";"0,8";"3 912";"1 122"
"Clermont";"V";"3 065";"3 085";"-0,6";"1 490";"1 481";"0,6";"1 429";"1 394";"2,5";"51,53";"59,5";"1 027";"269"
"La Malbaie";"V";"8 235";"8 271";"-0,4";"4 563";"4 608";"-1,0";"3 826";"3 791";"0,9";"458,19";"18,0";"501";"126"
"Mont-Élie";"NO";"51";"63";"-19,0";"85";"102";"-16,7";"27";"34";"-20,6";"851,18";"0,1";"4 504";"1 164"
"Notre-Dame-des-Monts";"MÉ";"789";"791";"-0,3";"376";"350";"7,4";"337";"320";"5,3";"57,93";"13,6";"2 382";"761"
"Sagard";"NO";"110";"130";"-15,4";"91";"88";"3,4";"54";"56";"-3,6";"204,59";"0,5";"4 214";"1 149"
"Saint-Aimé-des-Lacs";"MÉ";"1 158";"1 095";"5,8";"739";"770";"-4,0";"517";"472";"9,5";"91,61";"12,6";"1 939";"596"
"Saint-Irénée";"PE";"678";"641";"5,8";"482";"464";"3,9";"333";"289";"15,2";"59,92";"11,3";"2 567";"817"
"Saint-Siméon";"MÉ";"1 139";"1 227";"-7,2";"713";"712";"0,1";"518";"517";"0,2";"281,14";"4,1";"1 962";"605"
"Barnston-Ouest 3";"MÉ";"546";"559";"-2,3";"259";"290";"-10,7";"214";"223";"-4,0";"99,36";"5,5";"2 826";"890"
"Coaticook 3";"V";"8 867";"8 955";"-1,0";"4 282";"4 160";"2,9";"4 023";"3 944";"2,0";"219,45";"40,4";"474";"119"
"Compton";"MÉ";"3 270";"3 131";"4,4";"1 379";"1 342";"2,8";"1 304";"1 260";"3,5";"206,58";"15,8";"984";"256"
"Dixville";"MÉ";"732";"696";"5,2";"303";"299";"1,3";"282";"265";"6,4";"76,56";"9,6";"2 469";"789"
"East Hereford";"MÉ";"282";"269";"4,8";"158";"145";"9,0";"125";"115";"8,7";"72,10";"3,9";"3 568";"1 077"
"Martinville";"MÉ";"441";"436";"1,1";"191";"187";"2,1";"181";"169";"7,1";"47,66";"9,3";"3 071";"967"
"Saint-Herménégilde";"MÉ";"690";"670";"3,0";"543";"554";"-2,0";"329";"302";"8,9";"166,15";"4,2";"2 543";"811"
"Saint-Malo";"MÉ";"514";"475";"8,2";"265";"282";"-6,0";"202";"195";"3,6";"131,83";"3,9";"2 900";"915"
"Saint-Venant-de-Paquette";"MÉ";"69";"97";"-28,9";"61";"87";"-29,9";"37";"47";"-21,3";"58,75";"1,2";"4 413";"1 159"
"Sainte-Edwidge-de-Clifton";"CT";"546";"504";"8,3";"208";"190";"9,5";"200";"181";"10,5";"101,84";"5,4";"2 826";"890"
"Stanstead-Est";"MÉ";"642";"584";"9,9";"314";"326";"-3,7";"264";"257";"2,7";"114,54";"5,6";"2 641";"840"
"Waterville";"V";"2 307";"2 121";"8,8";"950";"885";"7,3";"909";"859";"5,8";"44,03";"52,4";"1 258";"360"
"Grosse-Île";"MÉ";"464";"465";"-0,2";"252";"254";"-0,8";"220";"213";"3,3";"32,28";"14,4";"3 018";"945"
"Les Îles-de-la-Madeleine";"MÉ";"12 190";"12 010";"1,5";"6 413";"6 223";"3,1";"5 610";"5 321";"5,4";"155,06";"78,6";"354";"91"
"Berthierville";"V";"4 386";"4 189";"4,7";"2 225";"2 126";"4,7";"2 166";"1 990";"8,8";"6,77";"647,8";"803";"205"
"La Visitation-de-l'Île-Dupas";"MÉ";"684";"626";"9,3";"338";"320";"5,6";"308";"283";"8,8";"28,15";"24,3";"2 556";"813"
"Lanoraie";"MÉ";"5 134";"4 787";"7,2";"2 199";"2 059";"6,8";"2 123";"1 963";"8,2";"102,74";"50,0";"717";"182"
"Lavaltrie";"V";"14 425";"13 657";"5,6";"5 973";"5 507";"8,5";"5 838";"5 351";"9,1";"68,22";"211,4";"300";"77"
"Mandeville";"MÉ";"2 363";"2 189";"7,9";"1 860";"1 911";"-2,7";"1 242";"1 111";"11,8";"318,21";"7,4";"1 241";"351"
"Saint-Barthélemy";"PE";"2 087";"1 934";"7,9";"1 072";"1 053";"1,8";"951";"899";"5,8";"105,36";"19,8";"1 348";"393"
"Saint-Cléophas-de-Brandon";"MÉ";"254";"227";"11,9";"112";"96";"16,7";"105";"89";"18,0";"15,34";"16,6";"3 662";"1 087"
"Saint-Cuthbert";"MÉ";"1 821";"1 862";"-2,2";"917";"944";"-2,9";"843";"838";"0,6";"131,72";"13,8";"1 458";"427"
"Saint-Didace";"PE";"688";"652";"5,5";"523";"548";"-4,6";"357";"317";"12,6";"99,60";"6,9";"2 547";"812"
"Saint-Gabriel 5";"V";"2 803";"2 640";"6,2";"1 502";"1 512";"-0,7";"1 366";"1 281";"6,6";"2,81";"998,6";"1 097";"295"
"Saint-Gabriel-de-Brandon 5";"MÉ";"2 684";"2 635";"1,9";"1 585";"1 635";"-3,1";"1 304";"1 210";"7,8";"99,23";"27,0";"1 132";"311"
"Saint-Ignace-de-Loyola";"MÉ";"2 048";"2 049";"0,0";"997";"960";"3,9";"941";"916";"2,7";"31,90";"64,2";"1 362";"397"
"Saint-Norbert";"PE";"1 060";"1 003";"5,7";"487";"479";"1,7";"459";"436";"5,3";"74,60";"14,2";"2 041";"636"
"Sainte-Geneviève-de-Berthier";"MÉ";"2 253";"2 280";"-1,2";"977";"981";"-0,4";"947";"938";"1,0";"67,03";"33,6";"1 278";"370"
"Sainte-Élisabeth";"MÉ";"1 390";"1 459";"-4,7";"628";"637";"-1,4";"605";"601";"0,7";"83,00";"16,7";"1 748";"531"
"Deux-Montagnes";"V";"17 915";"17 496";"2,4";"7 463";"7 240";"3,1";"7 266";"7 093";"2,4";"6,08";"2 947,8";"258";"66"
"Kanesatake 6";"S-É";"..";"..";"..";"..";"..";"..";"..";"..";"..";"11,86";"..";"..";".."
"Oka";"MÉ";"3 968";"3 824";"3,8";"1 683";"1 636";"2,9";"1 616";"1 563";"3,4";"56,99";"69,6";"861";"218"
"Pointe-Calumet";"MÉ";"6 281";"6 428";"-2,3";"2 673";"2 696";"-0,9";"2 590";"2 618";"-1,1";"4,59";"1 367,7";"628";"157"
"Saint-Eustache";"V";"45 276";"44 008";"2,9";"19 396";"18 742";"3,5";"18 958";"18 347";"3,3";"70,51";"642,1";"115";"26"
"Saint-Joseph-du-Lac";"MÉ";"7 031";"6 687";"5,1";"2 819";"2 608";"8,1";"2 743";"2 527";"8,5";"41,22";"170,6";"584";"146"
"Saint-Placide";"MÉ";"1 784";"1 686";"5,8";"876";"865";"1,3";"778";"730";"6,6";"42,89";"41,6";"1 489";"442"
"Sainte-Marthe-sur-le-Lac";"V";"19 797";"18 074";"9,5";"7 642";"6 941";"10,1";"7 503";"6 870";"9,2";"8,73";"2 267,4";"230";"59"
"Drummondville";"V";"79 258";"75 423";"5,1";"37 931";"35 402";"7,1";"36 727";"34 018";"8,0";"247,11";"320,7";"75";"15"
"Durham-Sud";"MÉ";"1 051";"1 043";"0,8";"455";"467";"-2,6";"428";"415";"3,1";"92,64";"11,3";"2 053";"640"
"L'Avenir";"MÉ";"1 350";"1 307";"3,3";"558";"640";"-12,8";"532";"583";"-8,7";"97,59";"13,8";"1 774";"545"
"Lefebvre";"MÉ";"925";"904";"2,3";"388";"395";"-1,8";"360";"355";"1,4";"66,18";"14,0";"2 213";"694"
"Notre-Dame-du-Bon-Conseil";"VL";"1 708";"1 557";"9,7";"730";"675";"8,1";"711";"657";"8,2";"4,20";"406,5";"1 537";"464"
"Notre-Dame-du-Bon-Conseil";"PE";"885";"949";"-6,7";"409";"442";"-7,5";"391";"402";"-2,7";"87,49";"10,1";"2 262";"716"
"Saint-Bonaventure";"MÉ";"1 066";"1 031";"3,4";"457";"467";"-2,1";"429";"414";"3,6";"78,72";"13,5";"2 033";"634"
"Saint-Cyrille-de-Wendover";"MÉ";"4 920";"4 723";"4,2";"1 937";"1 838";"5,4";"1 871";"1 805";"3,7";"110,20";"44,6";"747";"190"
"Saint-Edmond-de-Grantham";"PE";"804";"762";"5,5";"324";"306";"5,9";"301";"289";"4,2";"48,29";"16,6";"2 365";"753"
"Saint-Eugène";"MÉ";"1 139";"1 126";"1,2";"536";"512";"4,7";"488";"480";"1,7";"75,84";"15,0";"1 962";"605"
"Saint-Félix-de-Kingsey";"MÉ";"1 493";"1 430";"4,4";"744";"741";"0,4";"658";"641";"2,7";"126,28";"11,8";"1 669";"505"
"Saint-Germain-de-Grantham";"MÉ";"4 922";"4 917";"0,1";"2 062";"1 978";"4,2";"2 016";"1 935";"4,2";"87,47";"56,3";"745";"189"
"Saint-Guillaume";"MÉ";"1 491";"1 476";"1,0";"700";"687";"1,9";"655";"637";"2,8";"87,91";"17,0";"1 670";"506"
"Saint-Lucien";"MÉ";"1 801";"1 647";"9,4";"917";"947";"-3,2";"797";"723";"10,2";"110,99";"16,2";"1 477";"438"
"Saint-Majorique-de-Grantham";"PE";"1 384";"1 388";"-0,3";"536";"514";"4,3";"524";"506";"3,6";"57,50";"24,1";"1 755";"535"
"Saint-Pie-de-Guire";"PE";"446";"450";"-0,9";"206";"215";"-4,2";"185";"186";"-0,5";"51,27";"8,7";"3 056";"960"
"Sainte-Brigitte-des-Saults";"PE";"737";"723";"1,9";"321";"325";"-1,2";"305";"289";"5,5";"70,79";"10,4";"2 464";"787"
"Wickham";"MÉ";"2 587";"2 541";"1,8";"1 074";"1 030";"4,3";"1 038";"999";"3,9";"98,63";"26,2";"1 162";"321"
"Batiscan";"MÉ";"958";"903";"6,1";"545";"517";"5,4";"476";"441";"7,9";"43,25";"22,2";"2 164";"676"
"Champlain";"MÉ";"1 807";"1 735";"4,1";"957";"927";"3,2";"862";"813";"6,0";"58,17";"31,1";"1 472";"435"
"Notre-Dame-du-Mont-Carmel";"PE";"6 121";"5 751";"6,4";"2 678";"2 518";"6,4";"2 558";"2 372";"7,8";"128,29";"47,7";"638";"161"
"Saint-Luc-de-Vincennes";"MÉ";"519";"545";"-4,8";"263";"278";"-5,4";"252";"251";"0,4";"53,78";"9,6";"2 890";"909"
"Saint-Maurice";"PE";"3 432";"3 286";"4,4";"1 409";"1 345";"4,8";"1 360";"1 306";"4,1";"91,36";"37,6";"946";"243"
"Saint-Narcisse";"PE";"1 801";"1 832";"-1,7";"916";"880";"4,1";"851";"819";"3,9";"106,74";"16,9";"1 477";"438"
"Saint-Prosper-de-Champlain";"MÉ";"482";"530";"-9,1";"264";"267";"-1,1";"244";"241";"1,2";"94,11";"5,1";"2 985";"938"
"Saint-Stanislas";"MÉ";"1 001";"1 010";"-0,9";"578";"592";"-2,4";"506";"508";"-0,4";"89,38";"11,2";"2 108";"661"
"Sainte-Anne-de-la-Pérade";"MÉ";"2 031";"2 019";"0,6";"1 109";"1 156";"-4,1";"978";"956";"2,3";"109,28";"18,6";"1 369";"399"
"Sainte-Geneviève-de-Batiscan";"PE";"1 028";"1 006";"2,2";"571";"608";"-6,1";"514";"493";"4,3";"97,65";"10,5";"2 079";"651"
"Trois-Rivières";"V";"139 163";"134 413";"3,5";"70 411";"67 771";"3,9";"66 822";"63 157";"5,8";"288,65";"482,1";"39";"9"
"Gatineau";"V";"291 041";"276 245";"5,4";"133 225";"125 608";"6,1";"126 476";"118 385";"6,8";"341,84";"851,4";"18";"4"
"Crabtree";"MÉ";"4 155";"3 958";"5,0";"1 826";"1 719";"6,2";"1 757";"1 670";"5,2";"25,06";"165,8";"832";"209"
"Joliette";"V";"21 384";"20 484";"4,4";"11 153";"10 285";"8,4";"10 568";"9 778";"8,1";"22,96";"931,2";"212";"53"
"Notre-Dame-de-Lourdes";"MÉ";"3 141";"2 783";"12,9";"1 352";"1 247";"8,4";"1 298";"1 193";"8,8";"35,59";"88,2";"1 006";"261"
"Notre-Dame-des-Prairies";"V";"9 471";"9 273";"2,1";"4 547";"4 396";"3,4";"4 446";"4 251";"4,6";"18,10";"523,2";"448";"116"
"Saint-Ambroise-de-Kildare";"MÉ";"4 090";"3 856";"6,1";"1 749";"1 631";"7,2";"1 694";"1 582";"7,1";"67,73";"60,4";"846";"212"
"Saint-Charles-Borromée";"V";"15 285";"13 791";"10,8";"7 259";"6 222";"16,7";"6 850";"6 053";"13,2";"18,48";"827,0";"285";"71"
"Saint-Paul";"MÉ";"6 566";"5 891";"11,5";"2 755";"2 489";"10,7";"2 701";"2 396";"12,7";"49,11";"133,7";"609";"150"
"Saint-Pierre";"VL";"286";"276";"3,6";"132";"133";"-0,8";"129";"125";"3,2";"9,68";"29,5";"3 554";"1 072"
"Saint-Thomas";"MÉ";"3 496";"3 249";"7,6";"1 521";"1 419";"7,2";"1 475";"1 378";"7,0";"94,57";"37,0";"938";"241"
"Sainte-Mélanie";"MÉ";"3 250";"2 989";"8,7";"1 518";"1 428";"6,3";"1 394";"1 277";"9,2";"76,10";"42,7";"987";"258"
"Kamouraska";"MÉ";"607";"616";"-1,5";"393";"399";"-1,5";"284";"278";"2,2";"44,07";"13,8";"2 702";"860"
"La Pocatière";"V";"4 078";"4 120";"-1,0";"2 201";"2 155";"2,1";"1 981";"1 925";"2,9";"21,18";"192,5";"848";"214"
"Mont-Carmel";"MÉ";"1 160";"1 127";"2,9";"713";"704";"1,3";"534";"510";"4,7";"428,26";"2,7";"1 936";"594"
"Petit-Lac-Sainte-Anne";"NO";"0";"0";"...";"0";"0";"...";"0";"0";"...";"186,42";"0,0";"4 831";"1 194"
"Picard";"NO";"5";"10";"-50,0";"3";"6";"-50,0";"0";"5";"-100,0";"568,10";"0,0";"4 760";"1 187"
"Rivière-Ouelle";"MÉ";"995";"970";"2,6";"626";"635";"-1,4";"446";"420";"6,2";"57,50";"17,3";"2 114";"662"
"Saint-Alexandre-de-Kamouraska";"MÉ";"2 255";"2 109";"6,9";"927";"912";"1,6";"868";"830";"4,6";"111,40";"20,2";"1 275";"368"
"Saint-André-de-Kamouraska";"MÉ";"658";"658";"0,0";"276";"272";"1,5";"253";"244";"3,7";"71,06";"9,3";"2 605";"832"
"Saint-Bruno-de-Kamouraska";"MÉ";"515";"541";"-4,8";"270";"285";"-5,3";"238";"225";"5,8";"188,44";"2,7";"2 899";"914"
"Saint-Denis-De La Bouteillerie";"MÉ";"518";"517";"0,2";"367";"374";"-1,9";"238";"224";"6,3";"33,84";"15,3";"2 894";"913"
"Saint-Gabriel-Lalemant";"MÉ";"660";"716";"-7,8";"359";"385";"-6,8";"315";"314";"0,3";"77,92";"8,5";"2 603";"830"
"Saint-Germain";"PE";"294";"286";"2,8";"163";"163";"0,0";"140";"129";"8,5";"28,53";"10,3";"3 530";"1 063"
"Saint-Joseph-de-Kamouraska";"PE";"398";"391";"1,8";"176";"176";"0,0";"165";"151";"9,3";"84,96";"4,7";"3 184";"991"
"Saint-Onésime-d'Ixworth";"MÉ";"522";"560";"-6,8";"305";"308";"-1,0";"258";"257";"0,4";"102,76";"5,1";"2 886";"907"
"Saint-Pacôme";"MÉ";"1 806";"1 598";"13,0";"748";"715";"4,6";"702";"673";"4,3";"29,06";"62,1";"1 473";"436"
"Saint-Pascal";"V";"3 530";"3 468";"1,8";"1 635";"1 664";"-1,7";"1 559";"1 557";"0,1";"59,68";"59,1";"926";"238"
"Saint-Philippe-de-Néri";"PE";"818";"832";"-1,7";"385";"388";"-0,8";"370";"371";"-0,3";"32,65";"25,1";"2 340";"744"
"Sainte-Anne-de-la-Pocatière";"PE";"1 597";"1 636";"-2,4";"717";"704";"1,8";"681";"671";"1,5";"54,78";"29,2";"1 599";"486"
"Sainte-Hélène-de-Kamouraska";"MÉ";"891";"918";"-2,9";"410";"400";"2,5";"382";"366";"4,4";"60,46";"14,7";"2 254";"713"
"Charlemagne";"V";"6 302";"5 913";"6,6";"3 217";"2 962";"8,6";"3 149";"2 878";"9,4";"2,17";"2 906,2";"626";"156"
"L'Assomption";"V";"23 442";"22 429";"4,5";"9 369";"8 932";"4,9";"9 206";"8 736";"5,4";"98,74";"237,4";"190";"49"
"L'Épiphanie 5";"V";"8 883";"8 693";"2,2";"3 695";"3 564";"3,7";"3 583";"3 398";"5,4";"56,57";"157,0";"473";"118"
"Repentigny";"V";"86 100";"84 285";"2,2";"34 710";"33 876";"2,5";"34 174";"33 321";"2,6";"61,52";"1 399,6";"71";"13"
"Saint-Sulpice";"PE";"3 360";"3 439";"-2,3";"1 517";"1 494";"1,5";"1 466";"1 435";"2,2";"36,17";"92,9";"957";"247"
"L'Islet";"MÉ";"3 803";"3 827";"-0,6";"1 871";"1 878";"-0,4";"1 735";"1 676";"3,5";"119,95";"31,7";"894";"227"
"Saint-Adalbert";"MÉ";"460";"510";"-9,8";"251";"328";"-23,5";"217";"239";"-9,2";"216,16";"2,1";"3 024";"948"
"Saint-Aubert";"MÉ";"1 441";"1 474";"-2,2";"806";"961";"-16,1";"651";"625";"4,2";"98,45";"14,6";"1 704";"516"
"Saint-Cyrille-de-Lessard";"PE";"742";"718";"3,3";"559";"606";"-7,8";"385";"356";"8,1";"230,52";"3,2";"2 455";"784"
"Saint-Damase-de-L'Islet";"MÉ";"563";"552";"2,0";"321";"324";"-0,9";"277";"261";"6,1";"247,64";"2,3";"2 788";"880"
"Saint-Jean-Port-Joli";"MÉ";"3 329";"3 407";"-2,3";"1 737";"1 766";"-1,6";"1 538";"1 529";"0,6";"69,31";"48,0";"965";"252"
"Saint-Marcel";"MÉ";"422";"428";"-1,4";"279";"319";"-12,5";"205";"196";"4,6";"178,83";"2,4";"3 111";"977"
"Saint-Omer";"MÉ";"294";"277";"6,1";"203";"216";"-6,0";"144";"129";"11,6";"122,44";"2,4";"3 530";"1 063"
"Saint-Pamphile";"V";"2 274";"2 400";"-5,3";"1 188";"1 227";"-3,2";"1 097";"1 109";"-1,1";"137,78";"16,5";"1 268";"364"
"Saint-Roch-des-Aulnaies";"MÉ";"955";"917";"4,1";"552";"569";"-3,0";"449";"433";"3,7";"49,14";"19,4";"2 171";"679"
"Sainte-Félicité";"MÉ";"350";"389";"-10,0";"189";"206";"-8,3";"173";"178";"-2,8";"94,89";"3,7";"3 347";"1 026"
"Sainte-Louise";"PE";"674";"671";"0,4";"328";"331";"-0,9";"301";"299";"0,7";"76,59";"8,8";"2 577";"822"
"Sainte-Perpétue";"MÉ";"1 715";"1 639";"4,6";"854";"852";"0,2";"753";"716";"5,2";"291,04";"5,9";"1 533";"463"
"Tourville";"MÉ";"576";"589";"-2,2";"337";"341";"-1,2";"281";"277";"1,4";"164,36";"3,5";"2 766";"874"
"Inverness";"MÉ";"910";"899";"1,2";"559";"518";"7,9";"422";"379";"11,3";"176,11";"5,2";"2 232";"702"
"Laurierville";"MÉ";"1 313";"1 346";"-2,5";"605";"634";"-4,6";"580";"574";"1,0";"107,91";"12,2";"1 802";"558"
"Lyster";"MÉ";"1 587";"1 605";"-1,1";"776";"752";"3,2";"681";"681";"0,0";"167,55";"9,5";"1 606";"487"
"Notre-Dame-de-Lourdes";"PE";"787";"688";"14,4";"361";"354";"2,0";"332";"304";"9,2";"81,39";"9,7";"2 387";"762"
"Plessisville 5";"V";"6 414";"6 551";"-2,1";"3 456";"3 203";"7,9";"3 158";"3 059";"3,2";"4,92";"1 304,2";"619";"153"
"Plessisville 5";"PE";"2 655";"2 663";"-0,3";"1 091";"1 105";"-1,3";"1 062";"1 052";"1,0";"141,19";"18,8";"1 141";"315"
"Princeville";"V";"6 218";"6 001";"3,6";"2 903";"2 702";"7,4";"2 781";"2 594";"7,2";"195,01";"31,9";"631";"158"
"Saint-Ferdinand";"MÉ";"2 007";"2 076";"-3,3";"1 277";"1 278";"-0,1";"988";"956";"3,3";"137,16";"14,6";"1 378";"404"
"Saint-Pierre-Baptiste";"PE";"560";"527";"6,3";"318";"273";"16,5";"237";"223";"6,3";"81,77";"6,8";"2 796";"882"
"Sainte-Sophie-d'Halifax";"MÉ";"595";"612";"-2,8";"258";"256";"0,8";"241";"240";"0,4";"92,13";"6,5";"2 725";"863"
